Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,current,2026-07-01,2026-09-30,all,172913,1.0
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,current,2026-07-01,2026-09-30,3+,8646,0.05
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,current,2026-07-01,2026-09-30,1,112393,0.65
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,current,2026-07-01,2026-09-30,2,51874,0.3
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,current,2026-07-01,2026-09-30,3,8646,0.05
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,first projection,2026-10-01,2027-03-31,all,172913,1.0
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,first projection,2026-10-01,2027-03-31,3+,17291,0.1
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,first projection,2026-10-01,2027-03-31,1,112393,0.65
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,first projection,2026-10-01,2027-03-31,2,43228,0.25
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,first projection,2026-10-01,2027-03-31,3,17291,0.1
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,current,2026-07-01,2026-09-30,all,116037,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,current,2026-07-01,2026-09-30,3+,17406,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,current,2026-07-01,2026-09-30,1,58019,0.5
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,current,2026-07-01,2026-09-30,2,40613,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,current,2026-07-01,2026-09-30,3,17406,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,first projection,2026-10-01,2027-03-31,all,116037,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,first projection,2026-10-01,2027-03-31,3+,23207,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,first projection,2026-10-01,2027-03-31,1,40613,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,first projection,2026-10-01,2027-03-31,2,52217,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,first projection,2026-10-01,2027-03-31,3,23207,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,current,2026-07-01,2026-09-30,all,65017,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,current,2026-07-01,2026-09-30,3+,22756,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,current,2026-07-01,2026-09-30,1,19505,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,current,2026-07-01,2026-09-30,2,22756,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,current,2026-07-01,2026-09-30,3,16254,0.25
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,current,2026-07-01,2026-09-30,4,6502,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,first projection,2026-10-01,2027-03-31,all,65017,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,first projection,2026-10-01,2027-03-31,3+,29258,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,first projection,2026-10-01,2027-03-31,1,6502,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,first projection,2026-10-01,2027-03-31,2,29258,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,first projection,2026-10-01,2027-03-31,3,19505,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,first projection,2026-10-01,2027-03-31,4,9753,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,current,2026-07-01,2026-09-30,all,206125,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,current,2026-07-01,2026-09-30,3+,30919,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,current,2026-07-01,2026-09-30,1,92756,0.45
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,current,2026-07-01,2026-09-30,2,82450,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,current,2026-07-01,2026-09-30,3,30919,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,first projection,2026-10-01,2027-03-31,all,206125,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,first projection,2026-10-01,2027-03-31,3+,51531,0.25
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,first projection,2026-10-01,2027-03-31,1,72144,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,first projection,2026-10-01,2027-03-31,2,82450,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,first projection,2026-10-01,2027-03-31,3,41225,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,first projection,2026-10-01,2027-03-31,4,10306,0.05
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,current,2026-07-01,2026-09-30,all,392649,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,current,2026-07-01,2026-09-30,3+,78530,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,current,2026-07-01,2026-09-30,1,157060,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,current,2026-07-01,2026-09-30,2,157060,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,current,2026-07-01,2026-09-30,3,78530,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,first projection,2026-10-01,2027-03-31,all,392649,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,first projection,2026-10-01,2027-03-31,3+,117794,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,first projection,2026-10-01,2027-03-31,1,137427,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,first projection,2026-10-01,2027-03-31,2,137427,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,first projection,2026-10-01,2027-03-31,3,98162,0.25
