Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2026,MOZ,34958973,Inhambane,Govuro,current,2026-07-01,2026-09-30,2,17352,0.45
Jul 2026,MOZ,34958973,Inhambane,Govuro,current,2026-07-01,2026-09-30,3,5784,0.15
Jul 2026,MOZ,34958973,Inhambane,Govuro,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Inhambane,Govuro,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Inhambane,Govuro,first projection,2026-10-01,2027-03-31,all,38561,1.0
Jul 2026,MOZ,34958973,Inhambane,Govuro,first projection,2026-10-01,2027-03-31,3+,11568,0.3
Jul 2026,MOZ,34958973,Inhambane,Govuro,first projection,2026-10-01,2027-03-31,1,11568,0.3
Jul 2026,MOZ,34958973,Inhambane,Govuro,first projection,2026-10-01,2027-03-31,2,15424,0.4
Jul 2026,MOZ,34958973,Inhambane,Govuro,first projection,2026-10-01,2027-03-31,3,9640,0.25
Jul 2026,MOZ,34958973,Inhambane,Govuro,first projection,2026-10-01,2027-03-31,4,1928,0.05
Jul 2026,MOZ,34958973,Inhambane,Govuro,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,current,2026-07-01,2026-09-30,all,63609,1.0
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,current,2026-07-01,2026-09-30,3+,6361,0.1
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,current,2026-07-01,2026-09-30,1,38165,0.6
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,current,2026-07-01,2026-09-30,2,19083,0.3
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,current,2026-07-01,2026-09-30,3,6361,0.1
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,first projection,2026-10-01,2027-03-31,all,63609,1.0
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,first projection,2026-10-01,2027-03-31,3+,9541,0.15
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,first projection,2026-10-01,2027-03-31,1,28624,0.45
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,first projection,2026-10-01,2027-03-31,2,25444,0.4
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,first projection,2026-10-01,2027-03-31,3,9541,0.15
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,current,2026-07-01,2026-09-30,all,173878,1.0
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,current,2026-07-01,2026-09-30,3+,17388,0.1
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,current,2026-07-01,2026-09-30,1,104327,0.6
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,current,2026-07-01,2026-09-30,2,52163,0.3
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,current,2026-07-01,2026-09-30,3,17388,0.1
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,first projection,2026-10-01,2027-03-31,all,173878,1.0
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,first projection,2026-10-01,2027-03-31,3+,26082,0.15
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,first projection,2026-10-01,2027-03-31,1,78245,0.45
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,first projection,2026-10-01,2027-03-31,2,69551,0.4
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,first projection,2026-10-01,2027-03-31,3,26082,0.15
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,current,2026-07-01,2026-09-30,all,187476,1.0
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,current,2026-07-01,2026-09-30,3+,18748,0.1
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,current,2026-07-01,2026-09-30,1,103112,0.55
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,current,2026-07-01,2026-09-30,2,65617,0.35
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,current,2026-07-01,2026-09-30,3,18748,0.1
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,first projection,2026-10-01,2027-03-31,all,187476,1.0
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,first projection,2026-10-01,2027-03-31,3+,28121,0.15
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,first projection,2026-10-01,2027-03-31,1,74990,0.4
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,first projection,2026-10-01,2027-03-31,2,84364,0.45
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,first projection,2026-10-01,2027-03-31,3,28121,0.15
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Zambezia,Namacurra,current,2026-07-01,2026-09-30,all,277702,1.0
Jul 2026,MOZ,34958973,Zambezia,Namacurra,current,2026-07-01,2026-09-30,3+,27770,0.1
Jul 2026,MOZ,34958973,Zambezia,Namacurra,current,2026-07-01,2026-09-30,1,152736,0.55
Jul 2026,MOZ,34958973,Zambezia,Namacurra,current,2026-07-01,2026-09-30,2,97196,0.35
Jul 2026,MOZ,34958973,Zambezia,Namacurra,current,2026-07-01,2026-09-30,3,27770,0.1
Jul 2026,MOZ,34958973,Zambezia,Namacurra,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Zambezia,Namacurra,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Zambezia,Namacurra,first projection,2026-10-01,2027-03-31,all,277702,1.0
Jul 2026,MOZ,34958973,Zambezia,Namacurra,first projection,2026-10-01,2027-03-31,3+,41655,0.15
Jul 2026,MOZ,34958973,Zambezia,Namacurra,first projection,2026-10-01,2027-03-31,1,124966,0.45
Jul 2026,MOZ,34958973,Zambezia,Namacurra,first projection,2026-10-01,2027-03-31,2,111081,0.4
Jul 2026,MOZ,34958973,Zambezia,Namacurra,first projection,2026-10-01,2027-03-31,3,41655,0.15
Jul 2026,MOZ,34958973,Zambezia,Namacurra,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Zambezia,Namacurra,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Maputo,Magude,current,2026-07-01,2026-09-30,all,89923,1.0
Jul 2026,MOZ,34958973,Maputo,Magude,current,2026-07-01,2026-09-30,3+,13488,0.15
Jul 2026,MOZ,34958973,Maputo,Magude,current,2026-07-01,2026-09-30,1,44962,0.5
Jul 2026,MOZ,34958973,Maputo,Magude,current,2026-07-01,2026-09-30,2,31473,0.35
Jul 2026,MOZ,34958973,Maputo,Magude,current,2026-07-01,2026-09-30,3,13488,0.15
Jul 2026,MOZ,34958973,Maputo,Magude,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Maputo,Magude,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Maputo,Magude,first projection,2026-10-01,2027-03-31,all,89923,1.0
Jul 2026,MOZ,34958973,Maputo,Magude,first projection,2026-10-01,2027-03-31,3+,17985,0.2
Jul 2026,MOZ,34958973,Maputo,Magude,first projection,2026-10-01,2027-03-31,1,31473,0.35
Jul 2026,MOZ,34958973,Maputo,Magude,first projection,2026-10-01,2027-03-31,2,40465,0.45
Jul 2026,MOZ,34958973,Maputo,Magude,first projection,2026-10-01,2027-03-31,3,17985,0.2
Jul 2026,MOZ,34958973,Maputo,Magude,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Maputo,Magude,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Maputo,Manhiça,current,2026-07-01,2026-09-30,all,295983,1.0
Jul 2026,MOZ,34958973,Maputo,Manhiça,current,2026-07-01,2026-09-30,3+,14799,0.05
Jul 2026,MOZ,34958973,Maputo,Manhiça,current,2026-07-01,2026-09-30,1,192389,0.65
Jul 2026,MOZ,34958973,Maputo,Manhiça,current,2026-07-01,2026-09-30,2,88795,0.3
Jul 2026,MOZ,34958973,Maputo,Manhiça,current,2026-07-01,2026-09-30,3,14799,0.05
Jul 2026,MOZ,34958973,Maputo,Manhiça,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Maputo,Manhiça,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Maputo,Manhiça,first projection,2026-10-01,2027-03-31,all,295983,1.0
Jul 2026,MOZ,34958973,Maputo,Manhiça,first projection,2026-10-01,2027-03-31,3+,29598,0.1
Jul 2026,MOZ,34958973,Maputo,Manhiça,first projection,2026-10-01,2027-03-31,1,147992,0.5
Jul 2026,MOZ,34958973,Maputo,Manhiça,first projection,2026-10-01,2027-03-31,2,118393,0.4
Jul 2026,MOZ,34958973,Maputo,Manhiça,first projection,2026-10-01,2027-03-31,3,29598,0.1
Jul 2026,MOZ,34958973,Maputo,Manhiça,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Maputo,Manhiça,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Maputo,Marracuene,current,2026-07-01,2026-09-30,all,315877,1.0
Jul 2026,MOZ,34958973,Maputo,Marracuene,current,2026-07-01,2026-09-30,3+,15794,0.05
Jul 2026,MOZ,34958973,Maputo,Marracuene,current,2026-07-01,2026-09-30,1,205320,0.65
Jul 2026,MOZ,34958973,Maputo,Marracuene,current,2026-07-01,2026-09-30,2,94763,0.3
Jul 2026,MOZ,34958973,Maputo,Marracuene,current,2026-07-01,2026-09-30,3,15794,0.05
Jul 2026,MOZ,34958973,Maputo,Marracuene,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Maputo,Marracuene,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Maputo,Marracuene,first projection,2026-10-01,2027-03-31,all,315877,1.0
Jul 2026,MOZ,34958973,Maputo,Marracuene,first projection,2026-10-01,2027-03-31,3+,15794,0.05
Jul 2026,MOZ,34958973,Maputo,Marracuene,first projection,2026-10-01,2027-03-31,1,173732,0.55
Jul 2026,MOZ,34958973,Maputo,Marracuene,first projection,2026-10-01,2027-03-31,2,126351,0.4
Jul 2026,MOZ,34958973,Maputo,Marracuene,first projection,2026-10-01,2027-03-31,3,15794,0.05
Jul 2026,MOZ,34958973,Maputo,Marracuene,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Maputo,Marracuene,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Maputo,Moamba,current,2026-07-01,2026-09-30,all,127905,1.0
Jul 2026,MOZ,34958973,Maputo,Moamba,current,2026-07-01,2026-09-30,3+,6395,0.05
Jul 2026,MOZ,34958973,Maputo,Moamba,current,2026-07-01,2026-09-30,1,70348,0.55
Jul 2026,MOZ,34958973,Maputo,Moamba,current,2026-07-01,2026-09-30,2,51162,0.4
Jul 2026,MOZ,34958973,Maputo,Moamba,current,2026-07-01,2026-09-30,3,6395,0.05
Jul 2026,MOZ,34958973,Maputo,Moamba,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Maputo,Moamba,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Maputo,Moamba,first projection,2026-10-01,2027-03-31,all,127905,1.0
Jul 2026,MOZ,34958973,Maputo,Moamba,first projection,2026-10-01,2027-03-31,3+,12791,0.1
Jul 2026,MOZ,34958973,Maputo,Moamba,first projection,2026-10-01,2027-03-31,1,51162,0.4
Jul 2026,MOZ,34958973,Maputo,Moamba,first projection,2026-10-01,2027-03-31,2,63953,0.5
Jul 2026,MOZ,34958973,Maputo,Moamba,first projection,2026-10-01,2027-03-31,3,12791,0.1
Jul 2026,MOZ,34958973,Maputo,Moamba,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Maputo,Moamba,first projection,2026-10-01,2027-03-31,5,0,0
