Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
Jul 2026,MOZ,34958973,Sofala,Maringue,2026-07-01,2026-09-30,122240,18336,0.15,55008,0.45,48896,0.4,18336,0.15,0,0,0,0,2026-10-01,2027-03-31,122240,36672,0.3,30560,0.25,55008,0.45,30560,0.25,6112,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Sofala,Muanza,2026-07-01,2026-09-30,48987,14696,0.3,17145,0.35,17145,0.35,12247,0.25,2449,0.05,0,0,2026-10-01,2027-03-31,48987,19595,0.4,14696,0.3,14696,0.3,14696,0.3,4899,0.1,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Manica,Sussundenga,2026-07-01,2026-09-30,220976,22098,0.1,121537,0.55,77342,0.35,22098,0.1,0,0,0,0,2026-10-01,2027-03-31,220976,44195,0.2,88390,0.4,88390,0.4,44195,0.2,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Manica,Vanduzi,2026-07-01,2026-09-30,144232,14423,0.1,64904,0.45,64904,0.45,14423,0.1,0,0,0,0,2026-10-01,2027-03-31,144232,21635,0.15,57693,0.4,64904,0.45,21635,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Manica,Guro,2026-07-01,2026-09-30,121234,24247,0.2,42432,0.35,54555,0.45,18185,0.15,6062,0.05,0,0,2026-10-01,2027-03-31,121234,36371,0.3,30309,0.25,54555,0.45,30309,0.25,6062,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Manica,Manica,2026-07-01,2026-09-30,300949,15047,0.05,180569,0.6,105332,0.35,15047,0.05,0,0,0,0,2026-10-01,2027-03-31,300949,30095,0.1,165522,0.55,105332,0.35,30095,0.1,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Manica,Mossurize,2026-07-01,2026-09-30,254072,25407,0.1,139740,0.55,88925,0.35,25407,0.1,0,0,0,0,2026-10-01,2027-03-31,254072,38111,0.15,114332,0.45,101629,0.4,38111,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Nampula,Erati,2026-07-01,2026-09-30,490923,49092,0.1,220915,0.45,220915,0.45,49092,0.1,0,0,0,0,2026-10-01,2027-03-31,490923,98184,0.2,171823,0.35,220915,0.45,73638,0.15,24546,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Nampula,Memba,2026-07-01,2026-09-30,409914,40991,0.1,184461,0.45,184461,0.45,40991,0.1,0,0,0,0,2026-10-01,2027-03-31,409914,122975,0.3,163966,0.4,122974,0.3,102479,0.25,20496,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Inhambane,Govuro,2026-07-01,2026-09-30,38561,5784,0.15,15424,0.4,17352,0.45,5784,0.15,0,0,0,0,2026-10-01,2027-03-31,38561,11568,0.3,11568,0.3,15424,0.4,9640,0.25,1928,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Inhambane,Inhassoro,2026-07-01,2026-09-30,63609,6361,0.1,38165,0.6,19083,0.3,6361,0.1,0,0,0,0,2026-10-01,2027-03-31,63609,9541,0.15,28624,0.45,25444,0.4,9541,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Inhambane,Vilankulo,2026-07-01,2026-09-30,173878,17388,0.1,104327,0.6,52163,0.3,17388,0.1,0,0,0,0,2026-10-01,2027-03-31,173878,26082,0.15,78245,0.45,69551,0.4,26082,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Zambezia,Maganja Da Costa,2026-07-01,2026-09-30,187476,18748,0.1,103112,0.55,65617,0.35,18748,0.1,0,0,0,0,2026-10-01,2027-03-31,187476,28121,0.15,74990,0.4,84364,0.45,28121,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Zambezia,Namacurra,2026-07-01,2026-09-30,277702,27770,0.1,152736,0.55,97196,0.35,27770,0.1,0,0,0,0,2026-10-01,2027-03-31,277702,41655,0.15,124966,0.45,111081,0.4,41655,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Maputo,Magude,2026-07-01,2026-09-30,89923,13488,0.15,44962,0.5,31473,0.35,13488,0.15,0,0,0,0,2026-10-01,2027-03-31,89923,17985,0.2,31473,0.35,40465,0.45,17985,0.2,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Maputo,Manhiça,2026-07-01,2026-09-30,295983,14799,0.05,192389,0.65,88795,0.3,14799,0.05,0,0,0,0,2026-10-01,2027-03-31,295983,29598,0.1,147992,0.5,118393,0.4,29598,0.1,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Maputo,Marracuene,2026-07-01,2026-09-30,315877,15794,0.05,205320,0.65,94763,0.3,15794,0.05,0,0,0,0,2026-10-01,2027-03-31,315877,15794,0.05,173732,0.55,126351,0.4,15794,0.05,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Maputo,Moamba,2026-07-01,2026-09-30,127905,6395,0.05,70348,0.55,51162,0.4,6395,0.05,0,0,0,0,2026-10-01,2027-03-31,127905,12791,0.1,51162,0.4,63953,0.5,12791,0.1,0,0,0,0,,,,,,,,,,,,,,,
