shapeName,shapeID,under18_sum,valid_cell_count,worldpop_valid_cells,has_ipc_current_data,province,ipc_area,analysis_date,current_from,current_to,population_analyzed_current,phase3plus_number_current,phase3plus_fraction_current,phase3plus_percent_current,under18_phase3plus_exposure_proxy
Magude,85939544B12261721998883,33189.859375,60398,True,True,Maputo,Magude,Jul 2026,2026-07-01,2026-09-30,89923.0,13488.0,0.15,15.0,4978.478906249999
Majune,85939544B16952446601864,24593.91015625,21887,True,False,,,,,,,,,,
Malema,85939544B80247740523844,128499.484375,193915,True,False,,,,,,,,,,
Mandimba,85939544B48761792497071,131677.296875,100960,True,False,,,,,,,,,,
Mandlakaze,85939544B24219595709494,56835.09375,119161,True,False,,,,,,,,,,
Manhiça,85939544B91620585279817,107888.546875,81695,True,True,Maputo,Manhiça,Jul 2026,2026-07-01,2026-09-30,295983.0,14799.0,0.05,5.0,5394.427343750001
Manica,85939544B32725727804377,126637.8984375,124780,True,True,Manica,Manica,Jul 2026,2026-07-01,2026-09-30,300949.0,15047.0,0.05,5.0,6331.894921875
Mapai,85939544B45935423796795,19270.74609375,36131,True,False,,,,,,,,,,
Maquival,85939544B65123265698186,26556.638671875,28001,True,False,,,,,,,,,,
Marara,85939544B55684561557182,44541.984375,66213,True,False,,,,,,,,,,
Maravia,85939544B82621359487865,78038.890625,77466,True,False,,,,,,,,,,
Maringue,85939544B35485552295049,61360.640625,98850,True,True,Sofala,Maringue,Jul 2026,2026-07-01,2026-09-30,122240.0,18336.0,0.15,15.0,9204.09609375
Marracuene,85939544B2591372162698,109422.546875,39417,True,True,Maputo,Marracuene,Jul 2026,2026-07-01,2026-09-30,315877.0,15794.0,0.05,5.0,5471.12734375
Marromeu,85939544B84282844658581,93968.2109375,59122,True,False,,,,,,,,,,
Marrupa,85939544B26738067837562,47270.6796875,79909,True,False,,,,,,,,,,
Massangena,85939544B81330952052148,11658.72265625,25467,True,False,,,,,,,,,,
Massinga,85939544B96403406066950,125423.765625,307946,True,False,,,,,,,,,,
Massingir,85939544B66771942168992,21659.197265625,12778,True,True,Gaza,Massingir,Jul 2026,2026-07-01,2026-09-30,37844.0,5677.0,0.15,15.0,3248.8795898437497
Matutuine,85939544B97303459234614,20829.626953125,59045,True,False,,,,,,,,,,
Maua,85939544B33000714085001,41819.02734375,63328,True,False,,,,,,,,,,
Mavago,85939544B69199020344442,19195.85546875,19643,True,False,,,,,,,,,,
Maxixe,85939544B37735984540105,65371.5859375,27189,True,False,,,,,,,,,,
Mecanhelas,85939544B26392807278532,173262.15625,164419,True,False,,,,,,,,,,
Meconta,85939544B84793619782311,132665.453125,139022,True,False,,,,,,,,,,
Mecuburi,85939544B36345946298130,126988.3125,154774,True,False,,,,,,,,,,
Mecufi,85939544B73793826279493,36566.421875,16448,True,True,Cabo Delgado,Mecufi,Jul 2026,2026-07-01,2026-09-30,79587.0,11938.0,0.15,15.0,5484.963281249999
Mecula,85939544B86519405521682,12019.1201171875,14341,True,False,,,,,,,,,,
Meluco,85939544B29216683074298,21276.921875,14629,True,True,Cabo Delgado,Meluco,Jul 2026,2026-07-01,2026-09-30,47478.0,9496.0,0.2,20.0,4255.384375000001
Memba,85939544B76219123027909,198206.15625,123095,True,True,Nampula,Memba,Jul 2026,2026-07-01,2026-09-30,409914.0,40991.0,0.1,10.0,19820.615625000002
Metarica,85939544B27352268742856,28236.9453125,43807,True,False,,,,,,,,,,
Metuge,85939544B43724113746926,49729.4296875,10570,True,True,Cabo Delgado,Metuge,Jul 2026,2026-07-01,2026-09-30,112373.0,11237.0,0.1,10.0,4972.942968750001
Milange,85939544B24654814708458,363712.4375,351980,True,False,,,,,,,,,,
Moamba,85939544B51879158696861,42826.38671875,93002,True,True,Maputo,Moamba,Jul 2026,2026-07-01,2026-09-30,127905.0,6395.0,0.05,5.0,2141.3193359375
Moatize,85939544B94790467869630,153534.53125,127283,True,True,Tete,Moatize,Jul 2026,2026-07-01,2026-09-30,364637.0,54696.0,0.15,15.0,23030.1796875
Mocimboa Da Praia,85939544B54758933622764,68172.4609375,18038,True,True,Cabo Delgado,Mocimboa Da Praia,Jul 2026,2026-07-01,2026-09-30,170873.0,68349.0,0.4,40.0,27268.984375
Mocuba,85939544B358257057392,242756.859375,320779,True,False,,,,,,,,,,
Mocubela,85939544B38416709222197,72527.9296875,81860,True,False,,,,,,,,,,
Mogincual,85939544B68532442394498,59268.5703125,40535,True,False,,,,,,,,,,
Mogovolas,85939544B32350532447413,217384.984375,268740,True,False,,,,,,,,,,
Molumbo,85939544B56224707964526,201067.8125,283699,True,False,,,,,,,,,,
Moma,85939544B26201267157646,193986.375,148814,True,False,,,,,,,,,,
Monapo,85939544B30642509050116,234931.09375,157711,True,False,,,,,,,,,,
Montepuez,85939544B74766547400417,151064.21875,70336,True,False,,,,,,,,,,
Mopeia,85939544B50332228011696,96022.78125,100373,True,False,,,,,,,,,,
Morrumbala,85939544B61462515035200,231907.734375,250850,True,False,,,,,,,,,,
Morrumbene,85939544B85400452133709,73701.3828125,135280,True,False,,,,,,,,,,
Mossuril,85939544B64339198961844,99387.0234375,61906,True,False,,,,,,,,,,
Mossurize,85939544B24800488676804,117788.3828125,282825,True,True,Manica,Mossurize,Jul 2026,2026-07-01,2026-09-30,254072.0,25407.0,0.1,10.0,11778.83828125
Muanza,85939544B50673994435668,24154.9453125,51922,True,True,Sofala,Muanza,Jul 2026,2026-07-01,2026-09-30,48987.0,14696.0,0.3,30.0,7246.48359375
Muecate,85939544B7087427782291,83182.0625,120158,True,False,,,,,,,,,,
Mueda,85939544B28759712944697,92863.8984375,42831,True,True,Cabo Delgado,Mueda,Jul 2026,2026-07-01,2026-09-30,225268.0,33790.0,0.15,15.0,13929.584765624999
Muembe,85939544B2234925194697,27497.912109375,43134,True,False,,,,,,,,,,
Muidumbe,85939544B92892346973749,53912.26171875,14241,True,True,Cabo Delgado,Muidumbe,Jul 2026,2026-07-01,2026-09-30,127879.0,12788.0,0.1,10.0,5391.226171875001
Mulevala,85939544B54372279750556,64024.9296875,149463,True,False,,,,,,,,,,
Murrupula,85939544B53018455745149,113595.96875,158471,True,False,,,,,,,,,,
Mutarara,85939544B58328889190937,103311.125,50961,True,True,Tete,Mutarara,Jul 2026,2026-07-01,2026-09-30,222038.0,55510.0,0.25,25.0,25827.78125
Nacala,85939544B80255250880532,161432.703125,14953,True,False,,,,,,,,,,
Nacala-A-Velha,85939544B78261911608408,70716.546875,47474,True,False,,,,,,,,,,
Nacaroa,85939544B80156310814638,87272.6875,124864,True,False,,,,,,,,,,
Namaacha,85939544B88728478280907,23028.21484375,38704,True,False,,,,,,,,,,
Namacurra,85939544B74893021327700,125107.828125,87270,True,True,Zambezia,Namacurra,Jul 2026,2026-07-01,2026-09-30,277702.0,27770.0,0.1,10.0,12510.782812500001
Namarroi,85939544B64189871111735,86812.6953125,179378,True,False,,,,,,,,,,
Namuno,85939544B68242516881190,143950.03125,68363,True,False,,,,,,,,,,
Nangade,85939544B17838134976629,49110.484375,24822,True,True,Cabo Delgado,Nangade,Jul 2026,2026-07-01,2026-09-30,116037.0,17406.0,0.15,15.0,7366.572656249999
Ngauma,85939544B1529593178446,59205.81640625,92850,True,False,,,,,,,,,,
Nhamatanda,85939544B48412147332355,163723.796875,180164,True,True,Sofala,Nhamatanda,Jul 2026,2026-07-01,2026-09-30,362887.0,54433.0,0.15,15.0,24558.56953125
Nicoadala,85939544B24973508625893,83538.75,80750,True,False,,,,,,,,,,
Nipepe,85939544B55402666252817,28360.625,29397,True,False,,,,,,,,,,
Palma,85939544B28801965730987,34475.47265625,18539,True,False,,,,,,,,,,
Panda,85939544B74614871029564,24259.01953125,90495,True,False,,,,,,,,,,
Pebane,85939544B33364168787730,125182.421875,149482,True,False,,,,,,,,,,
Quissanga,85939544B35031207172791,28075.44140625,7967,True,True,Cabo Delgado,Quissanga,Jul 2026,2026-07-01,2026-09-30,65017.0,22756.0,0.35,35.0,9826.4044921875
Rapale,85939544B86182788788384,99318.9375,199976,True,False,,,,,,,,,,
Ribaue,85939544B68369930448432,160141.1875,226610,True,False,,,,,,,,,,
Sanga,85939544B99370318353636,46787.50390625,89184,True,False,,,,,,,,,,
Sussundenga,85939544B81104327117882,102630.2578125,230095,True,True,Manica,Sussundenga,Jul 2026,2026-07-01,2026-09-30,220976.0,22098.0,0.1,10.0,10263.02578125
Tambara,85939544B86118750013731,34772.35546875,27330,True,False,,,,,,,,,,
Tsangano,85939544B8789366603018,124583.578125,139526,True,False,,,,,,,,,,
Vanduzi,85939544B72355494669336,94267.375,131296,True,True,Manica,Vanduzi,Jul 2026,2026-07-01,2026-09-30,144232.0,14423.0,0.1,10.0,9426.737500000001
Vilankulo,85939544B70195584825603,79806.4453125,164253,True,True,Inhambane,Vilankulo,Jul 2026,2026-07-01,2026-09-30,173878.0,17388.0,0.1,10.0,7980.64453125
Zavala,85939544B42929876675904,84663.828125,151998,True,False,,,,,,,,,,
Zumbu,85939544B34189520387166,53062.8359375,36025,True,True,Tete,Zumbu,Jul 2026,2026-07-01,2026-09-30,103235.0,10324.0,0.1,10.0,5306.28359375
